hospital_name_raw
รพ.ดอนพุด (10812)
รพ.หนองโดน (10813)
รพ.เสาไห้เฉลิมพระเกียรติ ๘๐ พรรษา (10814)
รพ.มวกเหล็ก (10815)
รพ.วังม่วงสัทธรรม (10816)
รพ.บ้านบึง (10817)
รพ.หนองใหญ่ (10818)
รพ.พัทยาปัทมคุณ (10819)
รพ.วัดญาณสังวราราม (10820)
รพ.พานทอง (10821)
รพ.พนัสนิคม (10822)
รพ.แหลมฉบัง (10823)
รพ.เกาะสีชัง (10824)
รพ.สัตหีบกม๑๐ (10825)
รพ.บ่อทอง (10826)
รพ.เฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง (10827)
รพ.บ้านฉาง (10828)
รพ.แกลง (10829)
รพ.วังจันทร์ (10830)
รพ.บ้านค่าย (10831)
รพ.ปลวกแดง (10832)
รพ.ท่าตะเกียบ (10833)
รพ.ขลุง (10834)
รพ.ท่าใหม่ (10835)
รพ.เขาสุกิม (10836)
รพ.สองพี่น้อง (10837)
รพ.โป่งน้ำร้อน (10838)
รพ.มะขาม (10839)
รพ.แหลมสิงห์ (10840)
รพ.สอยดาว (10841)
รพ.แก่งหางแมว (10842)
รพ.นายายอาม (10843)
รพ.เขาคิชฌกูฏ (10844)
รพ.คลองใหญ่ (10845)
รพ.เขาสมิง (10846)
รพ.บ่อไร่ (10847)
รพ.แหลมงอบ (10848)
รพ.เกาะกูด (10849)
รพ.บางคล้า (10850)
รพ.บางน้ำเปรี้ยว (10851)
รพ.บางปะกง (10852)
รพ.บ้านโพธิ์ (10853)
รพ.พนมสารคาม (10854)
รพ.สนามชัยเขต (10855)
รพ.แปลงยาว (10856)
รพ.กบินทร์บุรี (10857)
รพ.นาดี (10858)
รพ.บ้านสร้าง (10859)
รพ.ประจันตคาม (10860)
รพ.ศรีมหาโพธิ (10861)
รพ.ศรีมโหสถ (10862)
รพ.ปากพลี (10863)
รพ.บ้านนา (10864)
รพ.องครักษ์ (10865)
รพ.คลองหาด (10866)
รพ.ตาพระยา (10867)
รพ.วังน้ำเย็น (10868)
รพ.วัฒนานคร (10869)
รพ.อรัญประเทศ (10870)
รพ.ครบุรี (10871)
รพ.เสิงสาง (10872)
รพ.คง (10873)
รพ.บ้านเหลื่อม (10874)
รพ.จักราช (10875)
รพ.โชคชัย (10876)
รพ.หลวงพ่อคูณ ปริสุทฺโธ (10877)
รพ.โนนไทย (10878)
รพ.โนนสูง (10879)
รพ.ขามสะแกแสง (10880)
รพ.บัวใหญ่ (10881)
รพ.ประทาย (10882)
รพ.ปักธงชัย (10883)
รพ.พิมาย (10884)
รพ.ห้วยแถลง (10885)
รพ.ชุมพวง (10886)
รพ.สูงเนิน (10887)
รพ.ขามทะเลสอ (10888)
รพ.สีคิ้ว (10889)
รพ.ปากช่องนานา (10890)
รพ.หนองบุญมาก (10891)
รพ.แก้งสนามนาง (10892)
รพ.โนนแดง (10893)
รพ.วังน้ำเขียว (10894)
รพ.คูเมือง (10895)
รพ.กระสัง (10896)
รพ.นางรอง (10897)
รพ.หนองกี่ (10898)
รพ.ละหานทราย (10899)
รพ.ประโคนชัย (10900)
รพ.บ้านกรวด (10901)
รพ.พุทไธสง (10902)
รพ.ลำปลายมาศ (10904)
รพ.สตึก (10905)
รพ.ปะคำ (10906)
รพ.นาโพธิ์ (10907)
รพ.หนองหงส์ (10908)
รพ.พลับพลาชัย (10909)
รพ.ห้วยราช (10910)
รพ.โนนสุวรรณ (10911)
รพ.ชำนิ (10912)
รพ.บ้านใหม่ไชยพจน์ (10913)
รพ.โนนดินแดง (10914)
รพ.ชุมพลบุรี (10915)
รพ.ท่าตูม (10916)
รพ.จอมพระ (10917)
รพ.ปราสาท (10918)
รพ.กาบเชิง (10919)
รพ.รัตนบุรี (10920)
รพ.สนม (10921)
รพ.ศีขรภูมิ (10922)
รพ.สังขะ (10923)
รพ.ลำดวน (10924)
รพ.สำโรงทาบ (10925)
รพ.บัวเชด (10926)
รพ.ยางชุมน้อย (10927)
รพ.กันทรารมย์ (10928)
รพ.กันทรลักษ์ (10929)
รพ.ขุขันธ์ (10930)
รพ.ไพรบึง (10931)
รพ.ปรางค์กู่ (10932)
รพ.ขุนหาญ (10933)
รพ.ราษีไศล (10934)
รพ.อุทุมพรพิสัย (10935)
รพ.บึงบูรพ์ (10936)
รพ.ห้วยทับทัน (10937)
รพ.โนนคูณ (10938)
รพ.ศรีรัตนะ (10939)
รพ.วังหิน (10940)
รพ.น้ำเกลี้ยง (10941)
รพ.ภูสิงห์ (10942)
รพ.เมืองจันทร์ (10943)
รพ.ศรีเมืองใหม่ (10944)
รพ.โขงเจียม (10945)
รพ.เขื่องใน (10946)
รพ.เขมราฐ (10947)
รพ.นาจะหลวย (10948)
รพ.น้ำยืน (10949)
รพ.บุณฑริก (10950)
รพ.ตระการพืชผล (10951)
รพ.กุดข้าวปุ้น (10952)
รพ.ม่วงสามสิบ (10953)
รพ.วารินชำราบ (10954)
รพ.พิบูลมังสาหาร (10956)
รพ.ตาลสุม (10957)
รพ.โพธิ์ไทร (10958)
รพ.สำโรง (10959)
รพ.ดอนมดแดง (10960)
รพ.สิรินธร (10961)
รพ.ทุ่งศรีอุดม (10962)
รพ.ทรายมูล (10963)
รพ.กุดชุม (10964)
รพ.คำเขื่อนแก้ว (10965)
รพ.ป่าติ้ว (10966)
รพ.มหาชนะชัย (10967)
รพ.ค้อวัง (10968)
รพ.ไทยเจริญ (10969)
รพ.บ้านเขว้า (10970)
รพ.คอนสวรรค์ (10971)
รพ.เกษตรสมบูรณ์ (10972)
รพ.หนองบัวแดง (10973)
รพ.จัตุรัส (10974)
รพ.บำเหน็จณรงค์ (10975)
รพ.หนองบัวระเหว (10976)
รพ.เทพสถิต (10977)
รพ.ภูเขียวเฉลิมพระเกียรติ (10978)
รพ.บ้านแท่น (10979)
รพ.แก้งคร้อ (10980)
รพ.คอนสาร (10981)
รพ.ภักดีชุมพล (10982)
รพ.เนินสง่า (10983)
รพ.ชานุมาน (10985)
รพ.ปทุมราชวงศา (10986)
รพ.พนา (10987)
รพ.เสนางคนิคม (10988)
รพ.หัวตะพาน (10989)
รพ.ลืออำนาจ (10990)
รพ.นากลาง (10991)
รพ.โนนสัง (10992)
รพ.ศรีบุญเรือง (10993)
รพ.สุวรรณคูหา (10994)
รพ.บ้านฝาง (10995)
รพ.พระยืน (10996)
รพ.หนองเรือ (10997)
รพ.ชุมแพ (10998)
รพ.สีชมพู (10999)
รพ.น้ำพอง (11000)
รพ.อุบลรัตน์ (11001)
รพ.บ้านไผ่ (11002)
รพ.เปือยน้อย (11003)
รพ.พล (11004)
รพ.แวงใหญ่ (11005)
รพ.แวงน้อย (11006)
รพ.หนองสองห้อง (11007)
รพ.ภูเวียง (11008)
รพ.มัญจาคีรี (11009)
รพ.ชนบท (11010)
รพ.เขาสวนกวาง (11011)
รพ.ภูผาม่าน (11012)
รพ.กุดจับ (11013)
รพ.หนองวัวซอ (11014)
รพ.กุมภวาปี (11015)
รพ.ห้วยเกิ้ง (11016)
รพ.โนนสะอาด (11017)
รพ.หนองหาน (11018)
รพ.ทุ่งฝน (11019)
รพ.ไชยวาน (11020)
รพ.ศรีธาตุ (11021)
รพ.วังสามหมอ (11022)
รพ.บ้านผือ (11023)
รพ.น้ำโสม (11024)
รพ.เพ็ญ (11025)
รพ.สร้างคอม (11026)
รพ.หนองแสง (11027)
รพ.นายูง (11028)
รพ.พิบูลย์รักษ์ (11029)
รพ.นาด้วง (11030)
รพ.เชียงคาน (11031)
รพ.ปากชม (11032)
รพ.นาแห้ว (11033)
รพ.ภูเรือ (11034)
รพ.ท่าลี่ (11035)
รพ.วังสะพุง (11036)
รพ.ภูกระดึง (11037)
รพ.ภูหลวง (11038)
รพ.ผาขาว (11039)
รพ.บึงกาฬ (11040)
รพ.พรเจริญ (11041)
รพ.โพนพิสัย (11042)
รพ.โซ่พิสัย (11043)
รพ.ศรีเชียงใหม่ (11044)
รพ.สังคม (11045)
รพ.เซกา (11046)
รพ.ปากคาด (11047)
รพ.บึงโขงหลง (11048)
รพ.ศรีวิไล (11049)
