Name,Funding,Specialty,Province
Chiang Kham Hospital,Public,,Phayao
Chiang Muan Hospital,Public,,Phayao
Chun Hospital,Public,,Phayao
Dok Kham Tai Hospital,Public,,Phayao
Fort Khunchueangthammikkarat Hospital,Public,,Phayao
Mae Chai Hospital,Public,,Phayao
Phayao Hospital,Public,,Phayao
Phu Kamyao Hospital,Public,,Phayao
Phu Sang Hospital,Public,,Phayao
Pong Hospital,Public,,Phayao
University of Phayao Medical Center and Hospital,Public,,Phayao
Phayao Ram Hospital,Private,,Phayao
Bueng Sam Phan Hospital,Public,,Phetchabun
Chon Daen Hospital,Public,,Phetchabun
Fort Phokhunphamueang Hospital,Public,,Phetchabun
Khao Kho Hospital,Public,,Phetchabun
Lom Kao Crown Prince Hospital,Public,,Phetchabun
Lom Sak Hospital,Public,,Phetchabun
Nam Nao Hospital,Public,,Phetchabun
Nong Phai Hospital,Public,,Phetchabun
Phetchabun Hospital,Public,,Phetchabun
Si Thep Hospital,Public,,Phetchabun
Wang Pong Hospital,Public,,Phetchabun
Wichian Buri Hospital,Public,,Phetchabun
Mueang Phet Hospital,Private,,Phetchabun
Nakornlom Hospital,Private,,Phetchabun
Petcharath Hospital,Private,,Phetchabun
Ban Laem Hospital,Public,,Phetchaburi
Ban Lat Hospital,Public,,Phetchaburi
Cha-am Hospital,Public,,Phetchaburi
Fort Ramratchaniwet Hospital,Public,,Phetchaburi
Kaeng Krachan Hospital,Public,,Phetchaburi
Khao Yoi Hospital,Public,,Phetchaburi
Nong Ya Plong Hospital,Public,,Phetchaburi
King Mongkut Memorial (Phra Chom Klao) Hospital,Public,,Phetchaburi
Tha Yang Hospital,Public,,Phetchaburi
Muengpetch-Thonburi Hospital,Private,,Phetchaburi
Petcharat Hospital,Private,,Phetchaburi
Polgamnerdsiri Hospital,Private,,Phetchaburi
Bang Mun Nak Hospital,Public,,Phichit
Bueng Na Rang Hospital,Public,,Phichit
Dong Charoen Hospital,Public,,Phichit
Phichit Hospital,Public,,Phichit
Pho Prathap Chang Hospital,Public,,Phichit
Pho Thale Hospital,Public,,Phichit
Sak Lek Hospital,Public,,Phichit
Sam Ngam Hospital,Public,,Phichit
Taphan Hin Crown Prince Hospital,Public,,Phichit
Thap Khlo Hospital,Public,,Phichit
Wachirabarami Hospital,Public,,Phichit
Wang Sai Phun Hospital,Public,,Phichit
Chaiaroon Vechagarn Hospital,Private,,Phichit
Sahavej Hospital,Private,,Phichit
Srisukho Health Centre,Private,,Phichit
Thatsanavet Hospital,Private,,Phichit
Bang Krathum Hospital,Public,,Phitsanulok
Bang Rakam Hospital,Public,,Phitsanulok
Buddhachinaraj Phitsanulok Hospital,Public,,Phitsanulok
Chat Trakan Hospital,Public,,Phitsanulok
Fort Saritsena Hospital,Public,,Phitsanulok
Fort Somdet Phra Naresuan Maharat Hospital,Public,,Phitsanulok
Nakhon Thai Crown Prince Hospital,Public,,Phitsanulok
Naresuan University Hospital,Public,,Phitsanulok
Noen Maprang Hospital,Public,,Phitsanulok
Phrom Phiram Hospital,Public,,Phitsanulok
Royal Thai Air Force Wing 46 Hospital,Public,,Phitsanulok
Wang Thong Hospital,Public,,Phitsanulok
Wat Bot Hospital,Public,,Phitsanulok
Inter Vechakarn Hospital,Private,,Phitsanulok
Pitsanuvej Hospital,Private,,Phitsanulok
Radiotherapy and Nuclear Medicine Hospital,Private,,Phitsanulok
Ratanavej 2 Hospital,Private,,Phitsanulok
Ratanavej Hospital,Private,,Phitsanulok
Ruamphat Pitsanulok Hospital,Private,,Phitsanulok
Den Chai Crown Prince Hospital,Public,,Phrae
Long Hospital,Public,,Phrae
Nong Muang Khai Hospital,Public,,Phrae
Phrae Hospital,Public,,Phrae
Rong Kwang Hospital,Public,,Phrae
Song Hospital,Public,,Phrae
Sung Men Hospital,Public,,Phrae
Wang Chin Hospital,Public,,Phrae
Phrae Christian Hospital,Private,,Phrae
Phrae-Ram Hospital,Private,,Phrae
Patong Hospital,Public,,Phuket
Thalang Hospital,Public,,Phuket
Vachira Phuket Hospital,Public,,Phuket
Bangkok Hospital Phuket,Private,,Phuket
Mission Hospital Phuket,Private,,Phuket
Phuket International Hospital,Private,,Phuket
Ban Sang Hospital,Public,,Prachinburi
Chaophraya Abhaibhubejhr Hospital,Public,,Prachinburi
Fort Chakkraphong Hospital,Public,,Prachinburi
Kabin Buri Hospital,Public,,Prachinburi
Na Di Hospital,Public,,Prachinburi
Prachantakham Hospital,Public,,Prachinburi
Si Maha Phot Hospital,Public,,Prachinburi
Si Mahosot Hospital,Public,,Prachinburi
Imperial Hospital,Private,,Prachinburi
Sothonwet Hospital,Private,,Prachinburi
Bang Saphan Hospital,Public,,Prachuap Khiri Khan
Bang Saphan Noi Hospital,Public,,Prachuap Khiri Khan
Fort Thanarat Hospital,Public,,Prachuap Khiri Khan
Hua Hin Chalerm Prakiet Red Cross Health Station,Public,,Prachuap Khiri Khan
Hua Hin Hospital,Public,,Prachuap Khiri Khan
Kui Buri Hospital,Public,,Prachuap Khiri Khan
Prachuap Khiri Khan Hospital,Public,,Prachuap Khiri Khan
Pran Buri Hospital,Public,,Prachuap Khiri Khan
Royal Thai Air Force Wing 53 Hospital,Public,,Prachuap Khiri Khan
Sam Roi Yot Hospital,Public,,Prachuap Khiri Khan
Thap Sakae Hospital,Public,,Prachuap Khiri Khan
Chiva-Som Health Resort,Private,,Prachuap Khiri Khan
San Paulo Hua-Hin Hospital,Private,,Prachuap Khiri Khan
Kapoe Hospital,Public,,Ranong
Kra Buri Hospital,Public,,Ranong
La-un Hospital,Public,,Ranong
Ranong Hospital,Public,,Ranong
Suk Samran Hospital,Public,,Ranong
Andaman Ranong Medical,Private,,Ranong
Ban Kha Hospital,Public,,Ratchaburi
Ban Pong Hospital,Public,,Ratchaburi
Bang Phae Hospital,Public,,Ratchaburi
Chet Samian Hospital,Public,,Ratchaburi
Chom Bueng Crown Prince Hospital,Public,,Ratchaburi
Damnoen Saduak Hospital,Public,,Ratchaburi
Fort Phanurangsi Hospital,Public,,Ratchaburi
"Health Promotion Hospital, 4th Regional Health Promotion Center",Public,,Ratchaburi
Pak Tho Hospital,Public,,Ratchaburi
Photharam Hospital,Public,,Ratchaburi
Ratchaburi Hospital,Public,,Ratchaburi
Suan Phueng Hospital,Public,,Ratchaburi
Wat Phleng Hospital,Public,,Ratchaburi
Doctor Pradit Clinic,Private,,Ratchaburi
Doctor Sanguan Hospital,Private,,Ratchaburi
Muangraj Hospital,Private,,Ratchaburi
Promphat Hospital,Private,,Ratchaburi
San Camillo Hospital,Private,,Ratchaburi
Wattanavej Hospital,Private,,Ratchaburi
Ban Chang Hospital,Public,,Rayong
Ban Khai Hospital,Public,,Rayong
Khao Chamao Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Public,,Rayong
Klaeng Hospital,Public,,Rayong
HRH Princess Sirindhorn Rayong (Map Taphut) Hospital,Public,,Rayong
"Medical Section, Naval Air Station",Public,,Rayong
Nikhom Phatthana Hospital,Public,,Rayong
Pluak Daeng Hospital,Public,,Rayong
Rayong Hospital,Public,,Rayong
Wang Chan Hospital,Public,,Rayong
Bangkok Hospital Rayong,Private,,Rayong
Mongkutrayong Hospital,Private,,Rayong
Ruampat Rayong Hospital,Private,,Rayong
At Samat Hospital,Public,,Roi Et
Changhan Hospital,Public,,Roi Et
Chaturaphak Phiman Hospital,Public,,Roi Et
Chiang Khwan Hospital,Public,,Roi Et
Fort Somdet Phraphutthayotfa Chulalok Maharat Hospital,Public,,Roi Et
Kaset Wisai Hospital,Public,,Roi Et
Moei Wadi Hospital,Public,,Roi Et
Mueang Suang Hospital,Public,,Roi Et
Nong Hi Hospital,Public,,Roi Et
Nong Phok Hospital,Public,,Roi Et
Pathum Rat Hospital,Public,,Roi Et
Phanom Phrai Hospital,Public,,Roi Et
Pho Chai Hospital,Public,,Roi Et
Phon Sai Hospital,Public,,Roi Et
Phon Thong Hospital,Public,,Roi Et
Roi Et Hospital,Public,,Roi Et
Selaphum Hospital,Public,,Roi Et
Si Somdet Hospital,Public,,Roi Et
Suwannaphum Hospital,Public,,Roi Et
Thawat Buri Hospital,Public,,Roi Et
Thung Khao Luang Hospital,Public,,Roi Et
Bangkok Chureevetch Hospital,Private,,Roi Et
Roi-Et Thonburi Hospital,Private,,Roi Et
Aranyaprathet Hospital,Public,,Sa Kaeo
Fort Surasinghanat Hospital,Public,,Sa Kaeo
Khao Chakan Hospital,Public,,Sa Kaeo
Khlong Hat Hospital,Public,,Sa Kaeo
Khok Sung Hospital,Public,,Sa Kaeo
Sa Kaeo Crown Prince Hospital,Public,,Sa Kaeo
Sa Kaeo Rajanakarindra Psychiatric Hospital,Public,Psychiatry,Sa Kaeo
Ta Phraya Hospital,Public,,Sa Kaeo
Wang Nam Yen Hospital,Public,,Sa Kaeo
Wang Sombun Hospital,Public,,Sa Kaeo
Watthana Nakhon Hospital,Public,,Sa Kaeo
Akat Amnuai Hospital,Public,,Sakon Nakhon
Ban Muang Hospital,Public,,Sakon Nakhon
Charoen Sin Hospital,Public,,Sakon Nakhon
Fort Krit Srivara Hospital,Public,,Sakon Nakhon
Kham Ta Kla Hospital,Public,,Sakon Nakhon
Khok Si Suphan Hospital,Public,,Sakon Nakhon
Kusuman Hospital,Public,,Sakon Nakhon
Kut Bak Hospital,Public,,Sakon Nakhon
Nikhom Nam Un Hospital,Public,,Sakon Nakhon
Phang Khon Hospital,Public,,Sakon Nakhon
Phon Na Kaeo Hospital,Public,,Sakon Nakhon
Phra Achan Ban Thanakaro Hospital,Public,,Sakon Nakhon
Phra Achan Fan Acharo Hospital,Public,,Sakon Nakhon
Sakon Nakhon Hospital,Public,,Sakon Nakhon
Sawang Daen Din Crown Prince Hospital,Public,,Sakon Nakhon
Song Dao Hospital,Public,,Sakon Nakhon
Tao Ngoi Hospital,Public,,Sakon Nakhon
Wanon Niwat Hospital,Public,,Sakon Nakhon
Warichaphum Hospital,Public,,Sakon Nakhon
Rak Sakon Hospital,Private,,Sakon Nakhon
Bang Bo Hospital,Public,,Samut Prakan
Bang Chak Hospital,Public,,Samut Prakan
Bang Phli Hospital,Public,,Samut Prakan
Bang Sao Thong Hospital,Public,,Samut Prakan
Phra Chulachomklao Fort Hospital,Public,,Samut Prakan
Phra Samut Chedi Sawatayanon Hospital,Public,,Samut Prakan
Ratchapracha Samasai Institute,Public,Dermatology,Samut Prakan
Royal Thai Naval Academy Hospital,Public,,Samut Prakan
Samut Prakan Hospital,Public,,Samut Prakan
Thai Red Cross Rehabilitation Center,Public,PM&R,Samut Prakan
Yuwaprasart Waithayopathum Hospital,Public,Psychiatry,Samut Prakan
Bangkok Hospital Phrapradaeng,Private,,Samut Prakan
Bangna General Hospital 2,Private,,Samut Prakan
Bangna General Hospital 5,Private,,Samut Prakan
Bangpakok 3 Hospital,Private,,Samut Prakan
Central Park Hospital,Private,,Samut Prakan
Chaiprakarn Hospital,Private,,Samut Prakan
Chularat 1 Hospital,Private,,Samut Prakan
Chularat 3 Hospital,Private,,Samut Prakan
Chularat 5 Hospital,Private,,Samut Prakan
Chularat 9 Hospital,Private,,Samut Prakan
Chulavej Hospital,Private,,Samut Prakan
Mueang Samut Bang Pu Health Centre,Private,,Samut Prakan
Mueang Samut Pak Nam Hospital,Private,,Samut Prakan
Mueang Samut Pu Chao Saming Phrai Hospital,Private,,Samut Prakan
Paolo Memorial Hospital Samutprakarn,Private,,Samut Prakan
Piyamin Hospital,Private,,Samut Prakan
Ratrin Hospital,Private,,Samut Prakan
Ruamchai Pracharak Hospital,Private,,Samut Prakan
Samrong General Hospital,Private,,Samut Prakan
Ban Phaeo Hospital,Public,,Samut Sakhon
Krathum Baen Hospital,Public,,Samut Sakhon
Samut Sakhon Hospital,Public,,Samut Sakhon
Ekachai Hospital,Private,,Samut Sakhon
Jesada Vechakarn Hospital,Private,,Samut Sakhon
Mahachai 2 Hospital,Private,,Samut Sakhon
Mahachai 3 Hospital,Private,,Samut Sakhon
Mahachai Hospital Medical Specialty Center,Private,,Samut Sakhon
Srivichai 3 Hospital,Private,,Samut Sakhon
Srivichai 5 Hospital,Private,,Samut Sakhon
Amphawa Hospital,Public,,Samut Songkhram
Napalai (Bang Khonthi) Hospital,Public,,Samut Songkhram
Samut Songkhram Hospital,Public,,Samut Songkhram
Maeklong Hospital,Private,,Samut Songkhram
Ban Mo Hospital,Public,,Saraburi
Don Phut Hospital,Public,,Saraburi
Fort Adison Hospital,Public,,Saraburi
"Health Promotion Hospital, 2nd Regional Health Promotion Center",Public,,Saraburi
Kaeng Khoi Hospital,Public,,Saraburi
Muak Lek Hospital,Public,,Saraburi
Nong Don Hospital,Public,,Saraburi
Nong Khae Hospital,Public,,Saraburi
Nong Saeng Hospital,Public,,Saraburi
Phra Phutthabat Hospital,Public,,Saraburi
Sao Hai Hospital,Public,,Saraburi
Saraburi Hospital,Public,,Saraburi
Wang Muang Hospital,Public,,Saraburi
Wihan Daeng Hospital,Public,,Saraburi
Apinop Health Center,Private,,Saraburi
Kasemrad Hospital Saraburi,Private,,Saraburi
Mittraphap Memorial Hospital,Private,,Saraburi
Pabhavej Hospital,Private,,Saraburi
Khuan Don Hospital,Public,,Satun
Khuan Ka Long Hospital,Public,,Satun
La-ngu Hospital,Public,,Satun
Manang Hospital,Public,,Satun
Satun Hospital,Public,,Satun
Tha Phae Hospital,Public,,Satun
Thung Wa Hospital,Public,,Satun
Bang Rachan Hospital,Public,,Singburi
In Buri Hospital,Public,,Singburi
Khai Bang Rachan Hospital,Public,,Singburi
Phrom Buri Hospital,Public,,Singburi
Singburi Hospital,Public,,Singburi
Tha Chang Hospital,Public,,Singburi
Singburi Vechakarn Hospital,Private,,Singburi
Benchalak Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Public,,Sisaket
Bueng Bun Hospital,Public,,Sisaket
Huai Thap Than Hospital,Public,,Sisaket
Kantharalak Hospital,Public,,Sisaket
Kanthararom Hospital,Public,,Sisaket
Khu Khan Hospital,Public,,Sisaket
Khun Han Hospital,Public,,Sisaket
Mueang Chan Hospital,Public,,Sisaket
Nam Kliang Hospital,Public,,Sisaket
Non Khun Hospital,Public,,Sisaket
Phayu Hospital,Public,,Sisaket
Pho Si Suwan Hospital,Public,,Sisaket
Phrai Bueng Hospital,Public,,Sisaket
Phu Sing Hospital,Public,,Sisaket
Prang Ku Hospital,Public,,Sisaket
Rasi Salai Hospital,Public,,Sisaket
Sila Lat Hospital,Public,,Sisaket
Si Rattana Hospital,Public,,Sisaket
Sisaket Hospital,Public,,Sisaket
Uthumphon Phisai Hospital,Public,,Sisaket
Wang Hin Hospital,Public,,Sisaket
Yang Chum Noi Hospital,Public,,Sisaket
Pracharak Wetchakarn Hospital,Private,,Sisaket
Bang Klam Hospital,Public,,Songkhla
Chana Hospital,Public,,Songkhla
Fort Senanarong Hospital,Public,,Songkhla
Hatyai Hospital,Public,,Songkhla
Her Majesty the Queen's Hospital Na Thawi,Public,,Songkhla
Khlong Hoi Khong Hospital,Public,,Songkhla
Khuan Niang Hospital,Public,,Songkhla
Krasae Sin Hospital,Public,,Songkhla
Na Mom Hospital,Public,,Songkhla
Padang Besar Hospital,Public,,Songkhla
Prince of Songkla University Dental Hospital,Public,Dentistry,Songkhla
Ranot Hospital,Public,,Songkhla
Rattaphum Hospital,Public,,Songkhla
Royal Thai Air Force Wing 56 Hospital,Public,,Songkhla
Saba Yoi Hospital,Public,,Songkhla
Sadao Hospital,Public,,Songkhla
Sathing Phra Hospital,Public,,Songkhla
Singhanakhon Hospital,Public,,Songkhla
Songkhla Drug Dependence Treatment Center,Public,,Songkhla
Songkhla Hospital,Public,,Songkhla
Songkhla Naval Base Hospital,Public,,Songkhla
Songkhla Rajanakarindra Psychiatric Hospital,Public,Psychiatry,Songkhla
Songklanagarind Hospital,Public,,Songkhla
Thepha Hospital,Public,,Songkhla
Bangkok Hospital Hat Yai,Private,,Songkhla
Pattayavej Hospital,Private,,Songkhla
Rajyindee Hospital,Private,,Songkhla
Sikarin Hatyai Hospital,Private,,Songkhla
Tong Sia Siang Teung Foundation Hospital,Private,,Songkhla
Ban Dan Lan Hoi Hospital,Public,,Sukhothai
Khiri Mat Hospital,Public,,Sukhothai
Kong Krailat Hospital,Public,,Sukhothai
Sawankhalok Hospital,Public,,Sukhothai
Si Nakhon Hospital,Public,,Sukhothai
Si Satchanalai Hospital,Public,,Sukhothai
Srisangwon Sukhothai Hospital,Public,,Sukhothai
Sukhothai Hospital,Public,,Sukhothai
Thung Saliam Hospital,Public,,Sukhothai
Akhom Clinic,Private,,Sukhothai
Patanavej Sukothai Hospital,Private,,Sukhothai
Roumpath Sukhothai Hospital,Private,,Sukhothai
Bang Pla Ma Hospital,Public,,Suphanburi
Chaophraya Yommarat Hospital,Public,,Suphanburi
Dan Chang Hospital,Public,,Suphanburi
Doem Bang Nang Buat Hospital,Public,,Suphanburi
Don Chedi Hospital,Public,,Suphanburi
Nong Ya Sai Hospital,Public,,Suphanburi
Sam Chuk Hospital,Public,,Suphanburi
Si Prachan Hospital,Public,,Suphanburi
Somdejprasangkharach XVII Hospital,Public,,Suphanburi
U Thong Hospital,Public,,Suphanburi
Pornchai Hospital,Private,,Suphanburi
Samreang General Hospital,Private,,Suphanburi
Supamitr General Hospital,Private,,Suphanburi
Thonburi U Thong Hospital,Private,,Suphanburi
Vibhavadi Piyarasd Hospital,Private,,Suphanburi
Ban Na Doem Hospital,Public,,Surat?Thani
Ban Na San Hospital,Public,,Surat Thani
Ban Ta Khun Hospital,Public,,Surat Thani
Chai Buri Hospital,Public,,Surat Thani
Chaiya Hospital,Public,,Surat Thani
Don Sak Hospital,Public,,Surat Thani
Fort Vibhavadi Rangsit Hospital,Public,,Surat Thani
Kanchanadit Hospital,Public,,Surat Thani
Khian Sa Hospital,Public,,Surat Thani
Khiri Rat Nikhom Hospital,Public,,Surat Thani
Ko Phangan Hospital,Public,,Surat Thani
Ko Samui Hospital,Public,,Surat Thani
Phanom Hospital,Public,,Surat Thani
Phra Saeng Hospital,Public,,Surat Thani
Phun Phin Hospital,Public,,Surat Thani
Royal Thai Air Force Wing 67 Hospital,Public,,Surat Thani
Suan Saranrom Psychiatric Hospital,Public,Psychiatry,Surat Thani
Surat Thani Cancer Center,Public,Oncology,Surat Thani
Surat Thani Hospital,Public,,Surat Thani
Tha Chana Hospital,Public,,Surat Thani
Tha Chang Hospital,Public,,Surat Thani
Tha Rong Chang Hospital,Public,,Surat Thani
Vibhavadi Hospital,Public,,Surat Thani
Wiang Sa Crown Prince Hospital,Public,,Surat Thani
Ban Don Inter Hospital,Private,,Surat Thani
Bangkok Hospital Samui,Private,,Surat Thani
Samui International Hospital,Private,,Surat Thani
Srivichai Suratthani Hospital,Private,,Surat Thani
Thai International Hospital,Private,,Surat Thani
Thaksin Hospital,Private,,Surat Thani
Viengvej Hospital,Private,,Surat Thani
Bua Chet Hospital,Public,,Surin
Chom Phra Hospital,Public,,Surin
Chumphon Buri Hospital,Public,,Surin
Fort Weerawatyothin Hospital,Public,,Surin
Kap Choeng Hospital,Public,,Surin
Khwao Sinarin Hospital,Public,,Surin
Lamduan Hospital,Public,,Surin
Non Narai Hospital,Public,,Surin
Phanom Dongrak Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Public,,Surin
Prasat Hospital,Public,,Surin
Rattanaburi Hospital,Public,,Surin
Samrong Thap Hospital,Public,,Surin
Sangkha Hospital,Public,,Surin
Sanom Hospital,Public,,Surin
Sikhoraphum Hospital,Public,,Surin
Si Narong Hospital,Public,,Surin
Surin Hospital,Public,,Surin
Tha Tum Hospital,Public,,Surin
Ruampaet Hospital (Dr. Anan),Private,,Surin
Surin Ruam Phaet Hospital,Private,,Surin
Ban Tak Hospital,Public,,Tak
Fort Wachiraprakan Hospital,Public,,Tak
Mae Ramat Hospital,Public,,Tak
Mae Sot Hospital,Public,,Tak
Phop Phra Hospital,Public,,Tak
Sam Ngao Hospital,Public,,Tak
Somdet Phrachao Taksin Maharat Hospital,Public,,Tak
Tha Song Yang Hospital,Public,,Tak
Umphang Hospital,Public,,Tak
Wang Chao Hospital,Public,,Tak
Pawo Hospital,Private,,Tak
Hat Samran Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Public,,Trang
Huai Yot Hospital,Public,,Trang
Kantang Hospital,Public,,Trang
Na Yong Hospital,Public,,Trang
Palian Hospital,Public,,Trang
Ratsada Hospital,Public,,Trang
Sikao Hospital,Public,,Trang
Trang Hospital,Public,,Trang
Trang Regional Center of Tropical Dermatology,Public,Dermatology,Trang
Wang Wiset Hospital,Public,,Trang
Yan Ta Khao Hospital,Public,,Trang
Huai Yot Hospital,Private,,Trang
Ratchadamnoen Hospital,Private,,Trang
Trangruampat Hospital,Private,,Trang
Wattanapat Hospital,Private,,Trang
Bo Rai Hospital,Public,,Trat
Khao Saming Hospital,Public,,Trat
Khlong Yai Hospital,Public,,Trat
Ko Chang Hospital,Public,,Trat
Ko Kut Hospital,Public,,Trat
Laem Ngop Hospital,Public,,Trat
Trat Hospital,Public,,Trat
Bangkok Hospital Trat,Private,,Trat
Buntharik Hospital,Public,,Ubon Ratchathani
Det Udom Crown Prince Hospital,Public,,Ubon Ratchathani
Don Mot Daeng Hospital,Public,,Ubon Ratchathani
Fort Sapphasitthiprasong Hospital,Public,,Ubon Ratchathani
"Health Promotion Hospital, 7th Regional Health Promotion Center",Public,,Ubon Ratchathani
Khemarat Hospital,Public,,Ubon Ratchathani
Khong Chiam Hospital,Public,,Ubon Ratchathani
Khueang Nai Hospital,Public,,Ubon Ratchathani
Kut Khao Pun Hospital,Public,,Ubon Ratchathani
Lao Suea Kok Hospital,Public,,Ubon Ratchathani
Muang Sam Sip Hospital,Public,,Ubon Ratchathani
Na Chaluai Hospital,Public,,Ubon Ratchathani
Na Tan Hospital,Public,,Ubon Ratchathani
Na Yia Hospital,Public,,Ubon Ratchathani
Nam Khun Hospital,Public,,Ubon Ratchathani
Nam Yuen Hospital,Public,,Ubon Ratchathani
Phibun Mangsahan Hospital,Public,,Ubon Ratchathani
Pho Sai Hospital,Public,,Ubon Ratchathani
Prasrimahabhodi Psychiatric Hospital,Public,Psychiatry,Ubon Ratchathani
Prince Maha Vajiralongkorn 50th Birthday Hospital,Public,,Ubon Ratchathani
Royal Thai Air Force Wing 21 Hospital,Public,,Ubon Ratchathani
Samrong Hospital,Public,,Ubon Ratchathani
Sawang Wirawong Hospital,Public,,Ubon Ratchathani
Sunpasithiprasong Hospital,Public,,Ubon Ratchathani
Si Mueang Mai Hospital,Public,,Ubon Ratchathani
Sirindhorn Hospital,Public,,Ubon Ratchathani
Tan Sum Hospital,Public,,Ubon Ratchathani
Thung Si Udom Hospital,Public,,Ubon Ratchathani
Trakan Phuet Phon Hospital,Public,,Ubon Ratchathani
Ubon Ratchathani Cancer Center,Public,Oncology,Ubon Ratchathani
Ubon Ratchathani University Hospital,Public,,Ubon Ratchathani
Warin Chamrap Hospital,Public,,Ubon Ratchathani
Rajavej Hospital,Private,,Ubon Ratchathani
Roamklao Hospital,Private,,Ubon Ratchathani
Ubonrak Thonburi Hospital,Private,,Ubon Ratchathani
Ban Dung Crown Prince Hospital,Public,,Udon Thani
Ban Phue Hospital,Public,,Udon Thani
Chai Wan Hospital,Public,,Udon Thani
Fort Prachaksilapakhom Hospital,Public,,Udon Thani
Huai Koeng Hospital,Public,,Udon Thani
Ku Kaeo Hospital,Public,,Udon Thani
Kumphawapi Hospital,Public,,Udon Thani
Kut Chap Hospital,Public,,Udon Thani
Na Yung Hospital,Public,,Udon Thani
Nam Som Hospital,Public,,Udon Thani
Non Sa-at Hospital,Public,,Udon Thani
Nong Han Hospital,Public,,Udon Thani
Nong Saeng Hospital,Public,,Udon Thani
Nong Wua So Hospital,Public,,Udon Thani
Phen Hospital,Public,,Udon Thani
Phibun Rak Hospital,Public,,Udon Thani
Prachaksinlapakhom Hospital,Public,,Udon Thani
Royal Thai Air Force Wing 23 Hospital,Public,,Udon Thani
Sang Khom Hospital,Public,,Udon Thani
Si That Hospital,Public,,Udon Thani
Thung Fon Hospital,Public,,Udon Thani
Udon Thani Cancer Center,Public,Oncology,Udon Thani
Udon Thani Drug Dependence Treatment Center,Public,,Udon Thani
Udon Thani Hospital,Public,,Udon Thani
Wang Sam Mo Hospital,Public,,Udon Thani
Aek Udon International Hospital,Private,,Udon Thani
Chai-Kasem Hospital,Private,,Udon Thani
Dr. Phairoj Hospital,Private,,Udon Thani
North Eastern Wattana Hospital,Private,,Udon Thani
Panyavej Inter Hospital,Private,,Udon Thani
Rattana Phaet Hospital,Private,,Udon Thani
Ban Rai Hospital,Public,,Uthai Thani
Huai Khot Hospital,Public,,Uthai Thani
Lan Sak Hospital,Public,,Uthai Thani
Nong Chang Hospital,Public,,Uthai Thani
Nong Kha Yang Hospital,Public,,Uthai Thani
Sawang Arom Hospital,Public,,Uthai Thani
Thap Than Hospital,Public,,Uthai Thani
Uthai Thani Hospital,Public,,Uthai Thani
Ban Khok Hospital,Public,,Uttaradit
Fak Tha Hospital,Public,,Uttaradit
Fort Phichai Dabhak Hospital,Public,,Uttaradit
Lap Lae Hospital,Public,,Uttaradit
Nam Pat Hospital,Public,,Uttaradit
Phichai Hospital,Public,,Uttaradit
Tha Pla Hospital,Public,,Uttaradit
Thong Saen Khan Hospital,Public,,Uttaradit
Tron Hospital,Public,,Uttaradit
Uttaradit Hospital,Public,,Uttaradit
Bannang Sata Hospital,Public,,Yala
Betong Hospital,Public,,Yala
"Health Promotion Hospital, 12th Regional Health Promotion Center",Public,,Yala
Kabang Hospital,Public,,Yala
Krong Pinang Hospital,Public,,Yala
Raman Hospital,Public,,Yala
Than To Hospital,Public,,Yala
Yaha Crown Prince Hospital,Public,,Yala
Yala Hospital,Public,,Yala
Siroros Hospital,Private,,Yala
Kham Khuean Kaeo Hospital,Public,,Yasothon
Kho Wang Hospital,Public,,Yasothon
Kut Chum Hospital,Public,,Yasothon
Loeng Nok Tha Crown Prince Hospital,Public,,Yasothon
Maha Chana Chai Hospital,Public,,Yasothon
Pa Tio Hospital,Public,,Yasothon
Sai Mun Hospital,Public,,Yasothon
Thai Charoen Hospital,Public,,Yasothon
Yasothon Hospital,Public,,Yasothon
Dr. Hann Hospital,Private,,Yasothon
Hann International Hospital,Private,,Yasothon
