name,province,district,beds_(as_of_2024)[1]
Sing Buri Hospital,Sing Buri,Mueang,282
Kantharalak Hospital,Sisaket,Kantharalak,283
Songkhla Hospital,Songkhla,Mueang,508
Srisangwon Sukhothai Hospital,Sukhothai,Si Samrong,307
Sukhothai Hospital,Sukhothai,Mueang,320
Somdejphrasangkharach XVII Hospital,Suphan Buri,Song Phi Nong,262
Ko Samui Hospital,Surat Thani,Ko Samui,160
Prasat Hospital,Surin,Prasat,265
Sikhoraphum Hospital,Surin,Sikhoraphum,227
Mae Sot Hospital,Tak,Mae Sot,420
Somdejphrajaotaksin Maharaj Hospital,Tak,Mueang,329
Trat Hospital,Trat,Mueang,395
Det Udom Crown Prince Hospital,Ubon Ratchathani,Det Udom,363
The 50th Anniversary Mahavajiralongkorn Hospital,Ubon Ratchathani,Mueang,258
Trakan Phuet Phon Hospital,Ubon Ratchathani,Trakan Phuet Phon,176
Warin Chamrap Hospital,Ubon Ratchathani,Warin Chamrap,264
Kumphawapi Hospital,Udon Thani,Kumphawapi,280
Uthai Thani Hospital,Uthai Thani,Mueang,365
Betong Hospital,Yala,Betong,170
Yasothon Hospital,Yasothon,Mueang,485
Chanuman Hospital,Amnat Charoen,Chanuman,30
Hua Taphan Hospital,Amnat Charoen,Hua Taphan,60
Lue Amnat Hospital,Amnat Charoen,Lue Amnat,30
Pathum Ratchawongsa Hospital,Amnat Charoen,Pathum Ratchawongsa,50
Phana Hospital,Amnat Charoen,Phana,30
Senangkhanikhom Hospital,Amnat Charoen,Senangkhanikhom,30
Chaiyo Hospital,Ang Thong,Chaiyo,52
Pa Mok Hospital,Ang Thong,Pa Mok,54
Pho Thong Hospital,Ang Thong,Pho Thong,60
Sam Ko Hospital,Ang Thong,Sam Ko,36
Sawaeng Ha Hospital,Ang Thong,Sawaeng Ha,48
Wiset Chai Chan Hospital,Ang Thong,Wiset Chai Chan,97
Bueng Khong Long Hospital,Bueng Kan,Bueng Khong Long,45
Bung Khla Hospital,Bueng Kan,Bung Khla,32
Pak Khat Hospital,Bueng Kan,Pak Khat,41
Phon Charoen Hospital,Bueng Kan,Phon Charoen,37
